2022-03-24 20:39:01 INFO  BaseCase:40 - ----------开始执行测试-----------------
2022-03-24 20:39:06 INFO  HttpUtils:46 - 请求url:http://192.168.86.136:8080/app/mobile/api/user/login
2022-03-24 20:39:06 INFO  HttpUtils:47 - 请求头:{Content-Type=application/json}
2022-03-24 20:39:06 INFO  HttpUtils:48 - 请求参数:{"mobile":"35696874502","password":"","gqid":"4000002"}
2022-03-24 20:39:06 INFO  HttpUtils:49 - 响应结果:{"code":8,"msg":"登陆失败","data":{}}
2022-03-24 20:39:06 INFO  BaseCase:117 - 断言失败:json表达式:$.code,实际值=8,期望值=8
2022-03-24 20:39:06 INFO  BaseCase:117 - 断言失败:json表达式:$.msg,实际值=登陆失败,期望值=登陆失败
2022-03-24 20:39:07 INFO  HttpUtils:46 - 请求url:http://192.168.86.136:8080/app/mobile/api/user/login
2022-03-24 20:39:07 INFO  HttpUtils:47 - 请求头:{Content-Type=application/json}
2022-03-24 20:39:07 INFO  HttpUtils:48 - 请求参数:{"mobile":"","password":"123456","gqid":"4000002"}
2022-03-24 20:39:07 INFO  HttpUtils:49 - 响应结果:{"code":0,"msg":"成功调用","data":{"id":80,"username":"4000003","sex":1,"age":20,"mobile":"","email":"","gqid":"4000003","money":0.0,"pmoney":100.0,"createtime":1448515307000,"lasttime":1648125545926,"token":"Gv0e9i65zoArjkWP5i5z8NT2JruL2vYAcHEIhHtI4yzJCkgj2tTxrjgz3eEAEEyxxRU/jxaEwo/fQbjJJq9BrA==","identity":"82afaa6d5bd13b20"}}
2022-03-24 20:39:07 INFO  BaseCase:117 - 断言失败:json表达式:$.code,实际值=0,期望值=0
2022-03-24 20:39:07 INFO  BaseCase:117 - 断言失败:json表达式:$.msg,实际值=成功调用,期望值=成功调用
2022-03-24 20:39:07 INFO  BaseCase:117 - 断言失败:json表达式:$.data.id,实际值=80,期望值=80
2022-03-24 20:39:07 INFO  HttpUtils:46 - 请求url:http://192.168.86.136:8080/app/mobile/api/user/login
2022-03-24 20:39:07 INFO  HttpUtils:47 - 请求头:{Content-Type=application/json}
2022-03-24 20:39:07 INFO  HttpUtils:48 - 请求参数:{"mobile":"35696874502000000","password":"123456","gqid":"4000002"}
2022-03-24 20:39:07 INFO  HttpUtils:49 - 响应结果:{"code":5,"msg":"用户不存在","data":{}}
2022-03-24 20:39:07 INFO  BaseCase:117 - 断言失败:json表达式:$.code,实际值=5,期望值=5
2022-03-24 20:39:07 INFO  BaseCase:117 - 断言失败:json表达式:$.msg,实际值=用户不存在,期望值=用户不存在
2022-03-24 20:39:07 INFO  HttpUtils:46 - 请求url:http://192.168.86.136:8080/app/mobile/api/user/login
2022-03-24 20:39:07 INFO  HttpUtils:47 - 请求头:{Content-Type=application/json}
2022-03-24 20:39:07 INFO  HttpUtils:48 - 请求参数:{"mobile":"35696874502","password":"123456111","gqid":"4000002"}
2022-03-24 20:39:07 INFO  HttpUtils:49 - 响应结果:{"code":8,"msg":"登陆失败","data":{}}
2022-03-24 20:39:07 INFO  BaseCase:117 - 断言失败:json表达式:$.code,实际值=8,期望值=8
2022-03-24 20:39:07 INFO  BaseCase:117 - 断言失败:json表达式:$.msg,实际值=登陆失败,期望值=登陆失败
2022-03-24 20:39:07 INFO  HttpUtils:46 - 请求url:http://192.168.86.136:8080/app/mobile/api/user/login
2022-03-24 20:39:07 INFO  HttpUtils:47 - 请求头:{Content-Type=application/json}
2022-03-24 20:39:07 INFO  HttpUtils:48 - 请求参数:{"mobile":"15196174070","password":"123456","gqid":"4000002"}
2022-03-24 20:39:07 INFO  HttpUtils:49 - 响应结果:{"code":0,"msg":"成功调用","data":{"id":160188,"username":"4000124","sex":1,"age":20,"mobile":"15196174070","email":"","gqid":"4000124","money":0.0,"pmoney":100.0,"createtime":1647770955000,"lasttime":1648125546634,"token":"+dqMISEio21Z1t7oPXpj9WRWp6b5BkN5kGNgt1oz2FTwOC01Q9VwKZKc4h/KuXdxxRU/jxaEwo/fQbjJJq9BrA==","identity":"d06e830d9b4443df"}}
2022-03-24 20:39:07 INFO  BaseCase:117 - 断言失败:json表达式:$.code,实际值=0,期望值=0
2022-03-24 20:39:07 INFO  BaseCase:117 - 断言失败:json表达式:$.msg,实际值=成功调用,期望值=成功调用
